			d=3 (128 -> 192; 160 -> 224) m=0.000000, r=59,g=99,b=69
			d=3 (160 -> 224; 160 -> 224) m=0.000000, r=59,g=99,b=69
		d=2 (128 -> 224; 160 -> 256) m=21144.140625, r=132,g=222,b=155
			d=3 (128 -> 192; 160 -> 224) m=0.000000, r=59,g=99,b=69
			d=3 (128 -> 192; 192 -> 256) m=0.000000, r=59,g=99,b=69
			d=3 (160 -> 224; 192 -> 256) m=0.000000, r=59,g=99,b=69
			d=3 (160 -> 224; 160 -> 224) m=0.000000, r=59,g=99,b=69
		d=2 (160 -> 256; 160 -> 256) m=21144.140625, r=132,g=222,b=155
			d=3 (160 -> 224; 160 -> 224) m=0.000000, r=59,g=99,b=69
			d=3 (160 -> 224; 192 -> 256) m=0.000000, r=59,g=99,b=69
			d=3 (192 -> 256; 192 -> 256) m=0.000000, r=59,g=99,b=69
			d=3 (192 -> 256; 160 -> 224) m=0.000000, r=59,g=99,b=69
